Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power
20230828_060600-060800,Rockfall,-0.0014573603354372674,0.9688184038270579,0.02927980186857523,1.3438908712348852,0.9688194999550512,3.4816270751393454,2815.8336704794665,71,1.1333333333333333,1.0965677312319122,3.8883277833774126,216.0,0.22999999999999995,0.5760529299580847
20230825_160140-160340,Rockfall,0.008261316658736032,0.8620352366494606,-0.016219758215585266,1.0162250224077107,0.8620748219141001,2.8163121512800187,2229.518995734682,68,1.2,1.1964253761544317,4.380944998431427,358.0,1.3099999999999998,0.45951895548066907
20230904_015330-015530,Rockfall,-0.008173945204929759,0.9014003953961204,-0.0808141468494562,-0.2764129276584826,0.9014374555123029,2.2805862388115483,2437.7684586014857,72,0.8333333333333334,1.1299899194182814,4.23434486046764,272.0,0.18999999999999997,0.4679910214320734
20230908_222600-222800,Rockfall,0.003125532083392251,0.7451571667681731,-0.00772477071616924,0.4537876808121868,0.7451637216993158,2.4623509495256797,1665.806916410326,58,0.8666666666666667,0.9571245764906287,3.9228659816400486,172.0,0.44999999999999996,0.48763915741257063
20230827_183500-183700,Rockfall,-0.0013819009797745945,0.7368338370121279,0.006834165169536137,-0.06213285145807301,0.7368351328596738,2.215274729375104,1628.7780390489993,58,0.9,0.9747896660021022,3.445071515043375,198.0,0.32999999999999996,0.5414012633616949
20230911_101040-101240,Rockfall,-0.0027795040981958056,1.0786177733430893,-0.03217428421621213,1.604452087829415,1.0786213546071837,4.356172877619911,3490.2720798439077,80,1.5666666666666667,1.3293136397265135,4.711629503122649,170.0,0.7099999999999999,0.44276004782667444
20230830_201410-201610,Rockfall,-0.004710547998039951,0.8649816873411837,0.021211803189132863,2.0052157749995034,0.8649945136808921,3.6209020391283095,2244.646526094129,76,1.0333333333333332,1.172597896823772,4.402851718220419,348.0,1.0899999999999999,0.5161017888519056
20230827_225900-230100,Rockfall,0.007695780737015759,0.7841471236773888,-0.057670334050083934,-0.011593255305789807,0.7841848867535477,2.6245006224368086,1844.837809838023,62,0.9333333333333333,0.9739443023032269,3.4300719784663287,40.0,0.18999999999999997,0.49586712921524434
20230828_215820-220020,Rockfall,0.00529215752225681,1.0383965385257667,-0.02155604780440293,1.1950352301280818,1.038410024101046,3.62928332705068,3234.886134460605,70,1.0333333333333332,1.120731704196934,4.052751930134066,356.0,1.4899999999999998,0.6081980004314987
20230902_112030-112230,Rockfall,-0.00487503923616512,0.811017313230229,-0.14210271668183877,0.28540799221785473,0.8110319650708802,2.7498976251163154,1973.3185451002005,66,1.0333333333333332,1.1174261433890202,4.0814707022325285,0.0,1.3699999999999999,0.5166065963232749
